File name,Drug
mpimg_L11194-1_CardiacDMSOfluctuation-Co2-0964_S13_R1_001.fastq.gz,
mpimg_L11194-1_CardiacDMSOfluctuation-Co2-0964_S13_R1_001.fastq.gz.md5,
mpimg_L11194-1_CardiacDMSOfluctuation-Co2-0964_S13_R2_001.fastq.gz,
mpimg_L11194-1_CardiacDMSOfluctuation-Co2-0964_S13_R2_001.fastq.gz.md5,
mpimg_L11195-1_CardiacDMSOfluctuation-Co2-0965_S14_R1_001.fastq.gz,
mpimg_L11195-1_CardiacDMSOfluctuation-Co2-0965_S14_R1_001.fastq.gz.md5,
mpimg_L11195-1_CardiacDMSOfluctuation-Co2-0965_S14_R2_001.fastq.gz,
mpimg_L11195-1_CardiacDMSOfluctuation-Co2-0965_S14_R2_001.fastq.gz.md5,
mpimg_L11196-1_CardiacDMSOfluctuation-Co2-0966_S15_R1_001.fastq.gz,
mpimg_L11196-1_CardiacDMSOfluctuation-Co2-0966_S15_R1_001.fastq.gz.md5,
mpimg_L11196-1_CardiacDMSOfluctuation-Co2-0966_S15_R2_001.fastq.gz,
mpimg_L11196-1_CardiacDMSOfluctuation-Co2-0966_S15_R2_001.fastq.gz.md5,
mpimg_L11197-1_CardiacDMSOfluctuation-Co2-0967_S16_R1_001.fastq.gz,
mpimg_L11197-1_CardiacDMSOfluctuation-Co2-0967_S16_R1_001.fastq.gz.md5,
mpimg_L11197-1_CardiacDMSOfluctuation-Co2-0967_S16_R2_001.fastq.gz,
mpimg_L11197-1_CardiacDMSOfluctuation-Co2-0967_S16_R2_001.fastq.gz.md5,
mpimg_L11198-1_CardiacDMSOfluctuation-Co2-0968_S17_R1_001.fastq.gz,
mpimg_L11198-1_CardiacDMSOfluctuation-Co2-0968_S17_R1_001.fastq.gz.md5,
mpimg_L11198-1_CardiacDMSOfluctuation-Co2-0968_S17_R2_001.fastq.gz,
mpimg_L11198-1_CardiacDMSOfluctuation-Co2-0968_S17_R2_001.fastq.gz.md5,
mpimg_L11199-1_CardiacDMSOfluctuation-Co2-0969_S18_R1_001.fastq.gz,
mpimg_L11199-1_CardiacDMSOfluctuation-Co2-0969_S18_R1_001.fastq.gz.md5,
mpimg_L11199-1_CardiacDMSOfluctuation-Co2-0969_S18_R2_001.fastq.gz,
mpimg_L11199-1_CardiacDMSOfluctuation-Co2-0969_S18_R2_001.fastq.gz.md5,
mpimg_L11200-1_CardiacDMSOfluctuation-Co2-0970_S19_R1_001.fastq.gz,
mpimg_L11200-1_CardiacDMSOfluctuation-Co2-0970_S19_R1_001.fastq.gz.md5,
mpimg_L11200-1_CardiacDMSOfluctuation-Co2-0970_S19_R2_001.fastq.gz,
mpimg_L11200-1_CardiacDMSOfluctuation-Co2-0970_S19_R2_001.fastq.gz.md5,
mpimg_L11201-1_CardiacDMSOfluctuation-Co2-0971_S20_R1_001.fastq.gz,
mpimg_L11201-1_CardiacDMSOfluctuation-Co2-0971_S20_R1_001.fastq.gz.md5,
mpimg_L11201-1_CardiacDMSOfluctuation-Co2-0971_S20_R2_001.fastq.gz,
mpimg_L11201-1_CardiacDMSOfluctuation-Co2-0971_S20_R2_001.fastq.gz.md5,
mpimg_L11202-1_CardiacDMSOfluctuation-Co2-0972_S21_R1_001.fastq.gz,
mpimg_L11202-1_CardiacDMSOfluctuation-Co2-0972_S21_R1_001.fastq.gz.md5,
mpimg_L11202-1_CardiacDMSOfluctuation-Co2-0972_S21_R2_001.fastq.gz,
mpimg_L11202-1_CardiacDMSOfluctuation-Co2-0972_S21_R2_001.fastq.gz.md5,
mpimg_L11203-1_CardiacDMSOfluctuation-Co2-0973_S22_R1_001.fastq.gz,
mpimg_L11203-1_CardiacDMSOfluctuation-Co2-0973_S22_R1_001.fastq.gz.md5,
mpimg_L11203-1_CardiacDMSOfluctuation-Co2-0973_S22_R2_001.fastq.gz,
mpimg_L11203-1_CardiacDMSOfluctuation-Co2-0973_S22_R2_001.fastq.gz.md5,
mpimg_L11204-1_CardiacDMSOfluctuation-Co2-0974_S23_R1_001.fastq.gz,
mpimg_L11204-1_CardiacDMSOfluctuation-Co2-0974_S23_R1_001.fastq.gz.md5,
mpimg_L11204-1_CardiacDMSOfluctuation-Co2-0974_S23_R2_001.fastq.gz,
mpimg_L11204-1_CardiacDMSOfluctuation-Co2-0974_S23_R2_001.fastq.gz.md5,
mpimg_L11205-1_CardiacDMSOfluctuation-Co2-0975_S24_R1_001.fastq.gz,
mpimg_L11205-1_CardiacDMSOfluctuation-Co2-0975_S24_R1_001.fastq.gz.md5,
mpimg_L11205-1_CardiacDMSOfluctuation-Co2-0975_S24_R2_001.fastq.gz,
mpimg_L11205-1_CardiacDMSOfluctuation-Co2-0975_S24_R2_001.fastq.gz.md5,
mpimg_L11206-1_CardiacDMSOfluctuation-Co2-0976_S25_R1_001.fastq.gz,
mpimg_L11206-1_CardiacDMSOfluctuation-Co2-0976_S25_R1_001.fastq.gz.md5,
mpimg_L11206-1_CardiacDMSOfluctuation-Co2-0976_S25_R2_001.fastq.gz,
mpimg_L11206-1_CardiacDMSOfluctuation-Co2-0976_S25_R2_001.fastq.gz.md5,
mpimg_L11207-1_CardiacDMSOfluctuation-Co2-0977_S26_R1_001.fastq.gz,
mpimg_L11207-1_CardiacDMSOfluctuation-Co2-0977_S26_R1_001.fastq.gz.md5,
mpimg_L11207-1_CardiacDMSOfluctuation-Co2-0977_S26_R2_001.fastq.gz,
mpimg_L11207-1_CardiacDMSOfluctuation-Co2-0977_S26_R2_001.fastq.gz.md5,
mpimg_L11208-1_CardiacDMSOfluctuation-Co2-0978_S27_R1_001.fastq.gz,
mpimg_L11208-1_CardiacDMSOfluctuation-Co2-0978_S27_R1_001.fastq.gz.md5,
mpimg_L11208-1_CardiacDMSOfluctuation-Co2-0978_S27_R2_001.fastq.gz,
mpimg_L11208-1_CardiacDMSOfluctuation-Co2-0978_S27_R2_001.fastq.gz.md5,
mpimg_L11209-1_CardiacDMSOfluctuation-Co2-0979_S28_R1_001.fastq.gz,
mpimg_L11209-1_CardiacDMSOfluctuation-Co2-0979_S28_R1_001.fastq.gz.md5,
mpimg_L11209-1_CardiacDMSOfluctuation-Co2-0979_S28_R2_001.fastq.gz,
mpimg_L11209-1_CardiacDMSOfluctuation-Co2-0979_S28_R2_001.fastq.gz.md5,
mpimg_L11210-1_CardiacDMSOfluctuation-Co2-0980_S29_R1_001.fastq.gz,
mpimg_L11210-1_CardiacDMSOfluctuation-Co2-0980_S29_R1_001.fastq.gz.md5,
mpimg_L11210-1_CardiacDMSOfluctuation-Co2-0980_S29_R2_001.fastq.gz,
mpimg_L11210-1_CardiacDMSOfluctuation-Co2-0980_S29_R2_001.fastq.gz.md5,
mpimg_L11211-1_CardiacDMSOfluctuation-Co2-0981_S30_R1_001.fastq.gz,
mpimg_L11211-1_CardiacDMSOfluctuation-Co2-0981_S30_R1_001.fastq.gz.md5,
mpimg_L11211-1_CardiacDMSOfluctuation-Co2-0981_S30_R2_001.fastq.gz,
mpimg_L11211-1_CardiacDMSOfluctuation-Co2-0981_S30_R2_001.fastq.gz.md5,
mpimg_L11791-1_T0-Hep-5-Fluorouracil-0700_S1_R1_001.fastq.gz,
mpimg_L11791-1_T0-Hep-5-Fluorouracil-0700_S1_R1_001.fastq.gz.md5,
mpimg_L11791-1_T0-Hep-5-Fluorouracil-0700_S1_R2_001.fastq.gz,
mpimg_L11791-1_T0-Hep-5-Fluorouracil-0700_S1_R2_001.fastq.gz.md5,
mpimg_L11792-1_T0-Hep-5-Fluorouracil-0701_S2_R1_001.fastq.gz,
mpimg_L11792-1_T0-Hep-5-Fluorouracil-0701_S2_R1_001.fastq.gz.md5,
mpimg_L11792-1_T0-Hep-5-Fluorouracil-0701_S2_R2_001.fastq.gz,
mpimg_L11792-1_T0-Hep-5-Fluorouracil-0701_S2_R2_001.fastq.gz.md5,
mpimg_L11793-1_T0-Hep-Fluorouracil-0702_S3_R1_001.fastq.gz,
mpimg_L11793-1_T0-Hep-Fluorouracil-0702_S3_R1_001.fastq.gz.md5,
mpimg_L11793-1_T0-Hep-Fluorouracil-0702_S3_R2_001.fastq.gz,
mpimg_L11793-1_T0-Hep-Fluorouracil-0702_S3_R2_001.fastq.gz.md5,
mpimg_L11803-1_T72-Hepatic-5-Fluorouracil-0712-therapeutic_S4_R1_001.fastq.gz,
mpimg_L11803-1_T72-Hepatic-5-Fluorouracil-0712-therapeutic_S4_R1_001.fastq.gz.md5,
mpimg_L11803-1_T72-Hepatic-5-Fluorouracil-0712-therapeutic_S4_R2_001.fastq.gz,
mpimg_L11803-1_T72-Hepatic-5-Fluorouracil-0712-therapeutic_S4_R2_001.fastq.gz.md5,
mpimg_L11804-1_T72-Hepatic-5-Fluorouracil-0713-therapeutic_S5_R1_001.fastq.gz,
mpimg_L11804-1_T72-Hepatic-5-Fluorouracil-0713-therapeutic_S5_R1_001.fastq.gz.md5,
mpimg_L11804-1_T72-Hepatic-5-Fluorouracil-0713-therapeutic_S5_R2_001.fastq.gz,
mpimg_L11804-1_T72-Hepatic-5-Fluorouracil-0713-therapeutic_S5_R2_001.fastq.gz.md5,
mpimg_L11805-1_T72-Hepatic-5-Fluorouracil-0714-therapeutic_S6_R1_001.fastq.gz,
mpimg_L11805-1_T72-Hepatic-5-Fluorouracil-0714-therapeutic_S6_R1_001.fastq.gz.md5,
mpimg_L11805-1_T72-Hepatic-5-Fluorouracil-0714-therapeutic_S6_R2_001.fastq.gz,
mpimg_L11805-1_T72-Hepatic-5-Fluorouracil-0714-therapeutic_S6_R2_001.fastq.gz.md5,
mpimg_L11806-1_T168-Hepatic-5-Fluorouracil-0715-therapeutic_S7_R1_001.fastq.gz,
mpimg_L11806-1_T168-Hepatic-5-Fluorouracil-0715-therapeutic_S7_R1_001.fastq.gz.md5,
mpimg_L11806-1_T168-Hepatic-5-Fluorouracil-0715-therapeutic_S7_R2_001.fastq.gz,
mpimg_L11806-1_T168-Hepatic-5-Fluorouracil-0715-therapeutic_S7_R2_001.fastq.gz.md5,
mpimg_L11807-1_T168-Hepatic-5-Fluorouracil-0716-therapeutic_S8_R1_001.fastq.gz,
mpimg_L11807-1_T168-Hepatic-5-Fluorouracil-0716-therapeutic_S8_R1_001.fastq.gz.md5,
mpimg_L11807-1_T168-Hepatic-5-Fluorouracil-0716-therapeutic_S8_R2_001.fastq.gz,
mpimg_L11807-1_T168-Hepatic-5-Fluorouracil-0716-therapeutic_S8_R2_001.fastq.gz.md5,
mpimg_L11808-1_T168-Hepatic-5-Fluorouracil-0717-therapeutic_S9_R1_001.fastq.gz,
mpimg_L11808-1_T168-Hepatic-5-Fluorouracil-0717-therapeutic_S9_R1_001.fastq.gz.md5,
mpimg_L11808-1_T168-Hepatic-5-Fluorouracil-0717-therapeutic_S9_R2_001.fastq.gz,
mpimg_L11808-1_T168-Hepatic-5-Fluorouracil-0717-therapeutic_S9_R2_001.fastq.gz.md5,
mpimg_L11824-1_T72-Hepatic-5-Fluorouracil-0733-toxic_S10_R1_001.fastq.gz,
mpimg_L11824-1_T72-Hepatic-5-Fluorouracil-0733-toxic_S10_R1_001.fastq.gz.md5,
mpimg_L11824-1_T72-Hepatic-5-Fluorouracil-0733-toxic_S10_R2_001.fastq.gz,
mpimg_L11824-1_T72-Hepatic-5-Fluorouracil-0733-toxic_S10_R2_001.fastq.gz.md5,
mpimg_L11825-1_T72-Hepatic-5-Fluorouracil-0734-toxic_S11_R1_001.fastq.gz,
mpimg_L11825-1_T72-Hepatic-5-Fluorouracil-0734-toxic_S11_R1_001.fastq.gz.md5,
mpimg_L11825-1_T72-Hepatic-5-Fluorouracil-0734-toxic_S11_R2_001.fastq.gz,
mpimg_L11825-1_T72-Hepatic-5-Fluorouracil-0734-toxic_S11_R2_001.fastq.gz.md5,
mpimg_L11826-1_T72-Hepatic-5-Fluorouracil-0735-toxic_S12_R1_001.fastq.gz,
mpimg_L11826-1_T72-Hepatic-5-Fluorouracil-0735-toxic_S12_R1_001.fastq.gz.md5,
mpimg_L11826-1_T72-Hepatic-5-Fluorouracil-0735-toxic_S12_R2_001.fastq.gz,
mpimg_L11826-1_T72-Hepatic-5-Fluorouracil-0735-toxic_S12_R2_001.fastq.gz.md5,
mpimg_L11827-1_T168-Hepatic-5-Fluorouracil-0736-toxic_S13_R1_001.fastq.gz,
mpimg_L11827-1_T168-Hepatic-5-Fluorouracil-0736-toxic_S13_R1_001.fastq.gz.md5,
mpimg_L11827-1_T168-Hepatic-5-Fluorouracil-0736-toxic_S13_R2_001.fastq.gz,
mpimg_L11827-1_T168-Hepatic-5-Fluorouracil-0736-toxic_S13_R2_001.fastq.gz.md5,
mpimg_L11828-1_T168-Hepatic-5-Fluorouracil-0737-toxic_S14_R1_001.fastq.gz,
mpimg_L11828-1_T168-Hepatic-5-Fluorouracil-0737-toxic_S14_R1_001.fastq.gz.md5,
mpimg_L11828-1_T168-Hepatic-5-Fluorouracil-0737-toxic_S14_R2_001.fastq.gz,
mpimg_L11828-1_T168-Hepatic-5-Fluorouracil-0737-toxic_S14_R2_001.fastq.gz.md5,
mpimg_L11829-1_T168-Hepatic-5-Fluorouracil-0738-toxic_S15_R1_001.fastq.gz,
mpimg_L11829-1_T168-Hepatic-5-Fluorouracil-0738-toxic_S15_R1_001.fastq.gz.md5,
mpimg_L11829-1_T168-Hepatic-5-Fluorouracil-0738-toxic_S15_R2_001.fastq.gz,
mpimg_L11829-1_T168-Hepatic-5-Fluorouracil-0738-toxic_S15_R2_001.fastq.gz.md5,
mpimg_L11841-1_T0-Phenytoin-0742_S38_R1_001.fastq.gz,
mpimg_L11841-1_T0-Phenytoin-0742_S38_R1_001.fastq.gz.md5,
mpimg_L11841-1_T0-Phenytoin-0742_S38_R2_001.fastq.gz,
mpimg_L11841-1_T0-Phenytoin-0742_S38_R2_001.fastq.gz.md5,
mpimg_L11842-1_T0-Phenytoin-0743_S39_R1_001.fastq.gz,
mpimg_L11842-1_T0-Phenytoin-0743_S39_R1_001.fastq.gz.md5,
mpimg_L11842-1_T0-Phenytoin-0743_S39_R2_001.fastq.gz,
mpimg_L11842-1_T0-Phenytoin-0743_S39_R2_001.fastq.gz.md5,
mpimg_L11843-1_T0-Phenytoin-0744_S40_R1_001.fastq.gz,
mpimg_L11843-1_T0-Phenytoin-0744_S40_R1_001.fastq.gz.md5,
mpimg_L11843-1_T0-Phenytoin-0744_S40_R2_001.fastq.gz,
mpimg_L11843-1_T0-Phenytoin-0744_S40_R2_001.fastq.gz.md5,
mpimg_L11853-1_T72-Phenytoin-0754-therapeutic_S16_R1_001.fastq.gz,
mpimg_L11853-1_T72-Phenytoin-0754-therapeutic_S16_R1_001.fastq.gz.md5,
mpimg_L11853-1_T72-Phenytoin-0754-therapeutic_S16_R2_001.fastq.gz,
mpimg_L11853-1_T72-Phenytoin-0754-therapeutic_S16_R2_001.fastq.gz.md5,
mpimg_L11854-1_T72-Phenytoin-0755-therapeutic_S17_R1_001.fastq.gz,
mpimg_L11854-1_T72-Phenytoin-0755-therapeutic_S17_R1_001.fastq.gz.md5,
mpimg_L11854-1_T72-Phenytoin-0755-therapeutic_S17_R2_001.fastq.gz,
mpimg_L11854-1_T72-Phenytoin-0755-therapeutic_S17_R2_001.fastq.gz.md5,
mpimg_L11855-1_T72-Phenytoin-0756-therapeutic_S18_R1_001.fastq.gz,
mpimg_L11855-1_T72-Phenytoin-0756-therapeutic_S18_R1_001.fastq.gz.md5,
mpimg_L11855-1_T72-Phenytoin-0756-therapeutic_S18_R2_001.fastq.gz,
mpimg_L11855-1_T72-Phenytoin-0756-therapeutic_S18_R2_001.fastq.gz.md5,
mpimg_L11856-1_T168-Phenytoin-0757-therapeutic_S19_R1_001.fastq.gz,
mpimg_L11856-1_T168-Phenytoin-0757-therapeutic_S19_R1_001.fastq.gz.md5,
mpimg_L11856-1_T168-Phenytoin-0757-therapeutic_S19_R2_001.fastq.gz,
mpimg_L11856-1_T168-Phenytoin-0757-therapeutic_S19_R2_001.fastq.gz.md5,
mpimg_L11857-1_T168-Phenytoin-0758-therapeutic_S20_R1_001.fastq.gz,
mpimg_L11857-1_T168-Phenytoin-0758-therapeutic_S20_R1_001.fastq.gz.md5,
mpimg_L11857-1_T168-Phenytoin-0758-therapeutic_S20_R2_001.fastq.gz,
mpimg_L11857-1_T168-Phenytoin-0758-therapeutic_S20_R2_001.fastq.gz.md5,
mpimg_L11858-1_T168-Phenytoin-0759-therapeutic_S21_R1_001.fastq.gz,
mpimg_L11858-1_T168-Phenytoin-0759-therapeutic_S21_R1_001.fastq.gz.md5,
mpimg_L11858-1_T168-Phenytoin-0759-therapeutic_S21_R2_001.fastq.gz,
mpimg_L11858-1_T168-Phenytoin-0759-therapeutic_S21_R2_001.fastq.gz.md5,
mpimg_L11874-1_T72-Phenytoin-0775-toxic_S22_R1_001.fastq.gz,
mpimg_L11874-1_T72-Phenytoin-0775-toxic_S22_R1_001.fastq.gz.md5,
mpimg_L11874-1_T72-Phenytoin-0775-toxic_S22_R2_001.fastq.gz,
mpimg_L11874-1_T72-Phenytoin-0775-toxic_S22_R2_001.fastq.gz.md5,
mpimg_L11875-1_T72-Phenytoin-0776-toxic_S23_R1_001.fastq.gz,
mpimg_L11875-1_T72-Phenytoin-0776-toxic_S23_R1_001.fastq.gz.md5,
mpimg_L11875-1_T72-Phenytoin-0776-toxic_S23_R2_001.fastq.gz,
mpimg_L11875-1_T72-Phenytoin-0776-toxic_S23_R2_001.fastq.gz.md5,
mpimg_L11876-1_T72-Phenytoin-0777-toxic_S24_R1_001.fastq.gz,
mpimg_L11876-1_T72-Phenytoin-0777-toxic_S24_R1_001.fastq.gz.md5,
mpimg_L11876-1_T72-Phenytoin-0777-toxic_S24_R2_001.fastq.gz,
mpimg_L11876-1_T72-Phenytoin-0777-toxic_S24_R2_001.fastq.gz.md5,
mpimg_L11877-1_T168-Phenytoin-0778-toxic_S41_R1_001.fastq.gz,
mpimg_L11877-1_T168-Phenytoin-0778-toxic_S41_R1_001.fastq.gz.md5,
mpimg_L11877-1_T168-Phenytoin-0778-toxic_S41_R2_001.fastq.gz,
mpimg_L11877-1_T168-Phenytoin-0778-toxic_S41_R2_001.fastq.gz.md5,
mpimg_L11878-1_T168-Phenytoin-0779-toxic_S42_R1_001.fastq.gz,
mpimg_L11878-1_T168-Phenytoin-0779-toxic_S42_R1_001.fastq.gz.md5,
mpimg_L11878-1_T168-Phenytoin-0779-toxic_S42_R2_001.fastq.gz,
mpimg_L11878-1_T168-Phenytoin-0779-toxic_S42_R2_001.fastq.gz.md5,
mpimg_L11879-1_T168-Phenytoin-0780-toxic_S1_R1_001.fastq.gz,
mpimg_L11879-1_T168-Phenytoin-0780-toxic_S1_R1_001.fastq.gz.md5,
mpimg_L11879-1_T168-Phenytoin-0780-toxic_S1_R2_001.fastq.gz,
mpimg_L11879-1_T168-Phenytoin-0780-toxic_S1_R2_001.fastq.gz.md5,
mpimg_L12010-1_T0-Cardiac-Fluorouracil-0658_S25_R1_001.fastq.gz,
mpimg_L12010-1_T0-Cardiac-Fluorouracil-0658_S25_R1_001.fastq.gz.md5,
mpimg_L12010-1_T0-Cardiac-Fluorouracil-0658_S25_R2_001.fastq.gz,
mpimg_L12010-1_T0-Cardiac-Fluorouracil-0658_S25_R2_001.fastq.gz.md5,
mpimg_L12011-1_T0-Cardiac-Fluorouracil-0659_S26_R1_001.fastq.gz,
mpimg_L12011-1_T0-Cardiac-Fluorouracil-0659_S26_R1_001.fastq.gz.md5,
mpimg_L12011-1_T0-Cardiac-Fluorouracil-0659_S26_R2_001.fastq.gz,
mpimg_L12011-1_T0-Cardiac-Fluorouracil-0659_S26_R2_001.fastq.gz.md5,
mpimg_L12012-1_T0-Cardiac-Fluorouracil-0660_S27_R1_001.fastq.gz,
mpimg_L12012-1_T0-Cardiac-Fluorouracil-0660_S27_R1_001.fastq.gz.md5,
mpimg_L12012-1_T0-Cardiac-Fluorouracil-0660_S27_R2_001.fastq.gz,
